,Movie,Year,IMDB,Metascore,Votes
0,Gladiator,2000,8.5,6.7,1215333
1,Memento,2000,8.5,8.0,1032913
2,Snatch,2000,8.3,5.5,720436
3,Requiem for a Dream,2000,8.3,6.8,701627
4,X-Men,2000,7.4,6.4,537366
5,Cast Away,2000,7.8,7.3,473609
6,American Psycho,2000,7.6,6.4,432006
7,Unbreakable,2000,7.3,6.2,352897
8,Meet the Parents,2000,7.0,7.3,293405
9,Mission: Impossible II,2000,6.1,5.9,291309
10,"O Brother, Where Art Thou?",2000,7.8,6.9,265092
11,Gone in 60 Seconds,2000,6.5,3.5,246173
12,"Crouching Tiger, Hidden Dragon",2000,7.9,9.3,240248
13,The Patriot,2000,7.2,6.3,237864
14,Almost Famous,2000,7.9,9.0,235085
15,Scary Movie,2000,6.2,4.8,215029
16,Pitch Black,2000,7.1,4.9,214255
17,Final Destination,2000,6.7,3.6,211509
18,"Me, Myself & Irene",2000,6.6,4.9,210013
19,The Beach,2000,6.6,4.3,208526
20,Amores Perros,2000,8.1,8.3,207266
21,Traffic,2000,7.6,8.6,186332
22,Remember the Titans,2000,7.8,4.8,184567
23,How the Grinch Stole Christmas,2000,6.1,4.6,183696
24,What Women Want,2000,6.4,4.7,180823
25,Miss Congeniality,2000,6.2,4.3,170013
26,Chocolat,2000,7.3,6.4,168475
27,Chicken Run,2000,7.0,8.8,164094
28,Charlie's Angels,2000,5.5,5.2,163421
29,The Emperor's New Groove,2000,7.4,7.0,161224
30,Battle Royale,2000,7.7,8.1,159367
31,Erin Brockovich,2000,7.3,7.3,159006
32,High Fidelity,2000,7.5,7.9,158583
33,Road Trip,2000,6.5,5.5,148621
34,The Perfect Storm,2000,6.4,5.9,147183
35,"Dude, Where's My Car?",2000,5.5,3.0,128694
36,Billy Elliot,2000,7.7,7.4,115509
37,Hollow Man,2000,5.7,2.4,114899
38,Scream 3,2000,5.6,5.6,114437
39,Shanghai Noon,2000,6.6,7.7,112030
40,The 6th Day,2000,5.9,4.9,110745
41,What Lies Beneath,2000,6.6,5.1,110563
42,Pay It Forward,2000,7.2,4.0,107303
43,In the Mood for Love,2000,8.1,8.5,106003
44,The Whole Nine Yards,2000,6.7,4.7,102848
45,Men of Honor,2000,7.2,5.6,101007
46,Coyote Ugly,2000,5.7,2.7,100987
47,The Family Man,2000,6.8,4.2,97135
48,Frequency,2000,7.4,6.7,94735
49,Gladiator,2000,8.5,6.7,1215333
50,Memento,2000,8.5,8.0,1032913
51,Snatch,2000,8.3,5.5,720436
52,Requiem for a Dream,2000,8.3,6.8,701627
53,X-Men,2000,7.4,6.4,537366
54,Cast Away,2000,7.8,7.3,473609
55,American Psycho,2000,7.6,6.4,432006
56,Unbreakable,2000,7.3,6.2,352897
57,Meet the Parents,2000,7.0,7.3,293405
58,Mission: Impossible II,2000,6.1,5.9,291309
59,"O Brother, Where Art Thou?",2000,7.8,6.9,265092
60,Gone in 60 Seconds,2000,6.5,3.5,246173
61,"Crouching Tiger, Hidden Dragon",2000,7.9,9.3,240248
62,The Patriot,2000,7.2,6.3,237864
63,Almost Famous,2000,7.9,9.0,235085
64,Scary Movie,2000,6.2,4.8,215029
65,Pitch Black,2000,7.1,4.9,214255
66,Final Destination,2000,6.7,3.6,211509
67,"Me, Myself & Irene",2000,6.6,4.9,210013
68,The Beach,2000,6.6,4.3,208526
69,Amores Perros,2000,8.1,8.3,207266
70,Traffic,2000,7.6,8.6,186332
71,Remember the Titans,2000,7.8,4.8,184567
72,How the Grinch Stole Christmas,2000,6.1,4.6,183696
73,What Women Want,2000,6.4,4.7,180823
74,Miss Congeniality,2000,6.2,4.3,170013
75,Chocolat,2000,7.3,6.4,168475
76,Chicken Run,2000,7.0,8.8,164094
77,Charlie's Angels,2000,5.5,5.2,163421
78,The Emperor's New Groove,2000,7.4,7.0,161224
79,Battle Royale,2000,7.7,8.1,159367
80,Erin Brockovich,2000,7.3,7.3,159006
81,High Fidelity,2000,7.5,7.9,158583
82,Road Trip,2000,6.5,5.5,148621
83,The Perfect Storm,2000,6.4,5.9,147183
84,"Dude, Where's My Car?",2000,5.5,3.0,128694
85,Billy Elliot,2000,7.7,7.4,115509
86,Hollow Man,2000,5.7,2.4,114899
87,Scream 3,2000,5.6,5.6,114437
88,Shanghai Noon,2000,6.6,7.7,112030
89,The 6th Day,2000,5.9,4.9,110745
90,What Lies Beneath,2000,6.6,5.1,110563
91,Pay It Forward,2000,7.2,4.0,107303
92,In the Mood for Love,2000,8.1,8.5,106003
93,The Whole Nine Yards,2000,6.7,4.7,102848
94,Men of Honor,2000,7.2,5.6,101007
95,Coyote Ugly,2000,5.7,2.7,100987
96,The Family Man,2000,6.8,4.2,97135
97,Frequency,2000,7.4,6.7,94735
98,Gladiator,2000,8.5,6.7,1215333
99,Memento,2000,8.5,8.0,1032913
100,Snatch,2000,8.3,5.5,720436
101,Requiem for a Dream,2000,8.3,6.8,701627
102,X-Men,2000,7.4,6.4,537366
103,Cast Away,2000,7.8,7.3,473609
104,American Psycho,2000,7.6,6.4,432006
105,Unbreakable,2000,7.3,6.2,352897
106,Meet the Parents,2000,7.0,7.3,293405
107,Mission: Impossible II,2000,6.1,5.9,291309
108,"O Brother, Where Art Thou?",2000,7.8,6.9,265092
109,Gone in 60 Seconds,2000,6.5,3.5,246173
110,"Crouching Tiger, Hidden Dragon",2000,7.9,9.3,240248
111,The Patriot,2000,7.2,6.3,237864
112,Almost Famous,2000,7.9,9.0,235085
113,Scary Movie,2000,6.2,4.8,215029
114,Pitch Black,2000,7.1,4.9,214255
115,Final Destination,2000,6.7,3.6,211509
116,"Me, Myself & Irene",2000,6.6,4.9,210013
117,The Beach,2000,6.6,4.3,208526
118,Amores Perros,2000,8.1,8.3,207266
119,Traffic,2000,7.6,8.6,186332
120,Remember the Titans,2000,7.8,4.8,184567
121,How the Grinch Stole Christmas,2000,6.1,4.6,183696
122,What Women Want,2000,6.4,4.7,180823
123,Miss Congeniality,2000,6.2,4.3,170013
124,Chocolat,2000,7.3,6.4,168475
125,Chicken Run,2000,7.0,8.8,164094
126,Charlie's Angels,2000,5.5,5.2,163421
127,The Emperor's New Groove,2000,7.4,7.0,161224
128,Battle Royale,2000,7.7,8.1,159367
129,Erin Brockovich,2000,7.3,7.3,159006
130,High Fidelity,2000,7.5,7.9,158583
131,Road Trip,2000,6.5,5.5,148621
132,The Perfect Storm,2000,6.4,5.9,147183
133,"Dude, Where's My Car?",2000,5.5,3.0,128694
134,Billy Elliot,2000,7.7,7.4,115509
135,Hollow Man,2000,5.7,2.4,114899
136,Scream 3,2000,5.6,5.6,114437
